state,ArgentinaTTO,ArgentinaVAS,Australia,Belgium,Brazil,Canada,Chile,China,DenmarkTTO,DenmarkVAS,Europe,Finland,GermanyTTO,GermanyVAS,France,Italy,Japan,Korea,Malaysia,Netherlands,NewZealand,Poland,Portugal,Slovenia,Singapore,SpainTTO,SpainVAS,SriLanka,Sweden,Taiwan,Thailand,Trinidad_and_Tobago,UKTTO,UKVAS,USA,Zimbabwe
13222,0.492,0.492,0.411,0.208,0.422,0.485,0.178,0.479,0.516,0.318,0.279,0.381,0.39,0.305,0.142,0.562,0.559,0.633,0.469,0.301,0.251,0.587,0.195,0.428,-0.1888,0.154,0.27,0.291,0.3178,-0.011,0.254,0.617,0.206,0.307,0.436,0.513
13223,0.255,0.367,0.215,0.105,0.377,0.268,0.006,0.36,0.217,0.227,0.239,0.345,0.325,0.175,0.028,0.444,0.51,0.518,0.464,0.1,0.159,0.406,0.07,0.335,-0.3171,0.072,0.218,0.141,0.1653,-0.139,0.176,0.489,0.041,0.246,0.31,0.386
13231,0.165,0.365,0.216,0.227,0.368,0.295,0.071,0.421,0.25,0.331,0.297,0.499,0.187,0.179,0.079,0.378,0.508,0.562,0.477,0.182,0.263,0.181,0.11,0.41,-0.1216,0.044,0.261,0.092,0.3171,0.003,0.149,0.462,0.014,0.283,0.268,0.324
13232,0.231,0.359,0.119,0.124,0.318,0.232,-0.029,0.335,0.182,0.24,0.208,0.339,0.187,0.146,-0.011,0.326,0.445,0.519,0.396,0.058,0.171,0.155,0.073,0.317,-0.2717,-0.018,0.21,0.048,0.2619,-0.151,0.117,0.451,-0.057,0.22,0.24,0.278
13233,0.004,0.292,0.101,0.021,0.273,0.015,-0.147,0.216,-0.117,0.149,0.168,0.303,0.122,0.084,-0.125,0.208,0.396,0.404,0.391,-0.143,0.079,-0.026,0.015,0.224,-0.4,-0.1,0.159,-0.102,0.1094,-0.279,0.039,0.323,-0.222,0.159,0.123,0.151
13311,0.349,0.318,0.435,0.364,0.449,0.56,0.184,0.538,0.55,0.423,0.401,0.568,0.502,0.241,0.311,0.556,0.613,0.556,0.535,0.486,0.409,0.504,-0.085,0.578,0.0421,0.181,0.325,0.092,0.3732,0.141,0.299,0.618,0.342,0.404,0.431,0.534
13312,0.337,0.431,0.338,0.261,0.399,0.497,0.084,0.452,0.482,0.332,0.312,0.408,0.502,0.197,0.221,0.504,0.55,0.513,0.454,0.362,0.317,0.478,0.118,0.485,-0.108,0.119,0.274,0.048,0.318,-0.013,0.267,0.607,0.271,0.341,0.414,0.488
13313,0.187,0.245,0.185,0.158,0.354,0.28,-0.034,0.333,0.183,0.241,0.272,0.372,0.437,0.113,0.107,0.386,0.501,0.398,0.449,0.161,0.225,0.297,-0.18,0.392,-0.2363,0.037,0.223,-0.102,0.1655,-0.141,0.189,0.479,0.106,0.28,0.286,0.361
13321,0.288,0.397,0.367,0.28,0.385,0.515,0.074,0.446,0.488,0.345,0.308,0.457,0.39,0.235,0.199,0.501,0.533,0.519,0.481,0.4,0.33,0.447,0.045,0.467,-0.1041,0.092,0.266,0.035,0.3387,0.02,0.227,0.554,0.219,0.32,0.397,0.467
13322,0.354,0.392,0.27,0.177,0.335,0.452,-0.026,0.36,0.42,0.254,0.219,0.297,0.39,0.192,0.109,0.449,0.47,0.476,0.4,0.276,0.238,0.421,0.008,0.374,-0.2542,0.03,0.215,-0.009,0.2835,-0.134,0.195,0.543,0.148,0.257,0.37,0.421
13323,0.127,0.324,0.118,0.074,0.29,0.235,-0.144,0.241,0.121,0.163,0.179,0.261,0.325,0.11,-0.005,0.331,0.421,0.361,0.395,0.075,0.146,0.24,-0.049,0.281,-0.3825,-0.052,0.163,-0.159,0.131,-0.262,0.117,0.415,-0.017,0.196,0.253,0.294
